ID,Airline,Date_of_Journey,Source,Destination,Route,Arrival_Time,Duration,Total_Stops,Additional_Info, Price_EUR 
6694,British Airways,12-06-2019 19:30,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,13-06-2019 04:25,8h 55m,2 stops,In-flight meal not included, 114.1 
6695,British Airways,24-03-2019 08:25,Paris,London,CDG _ WAW _ LHR,24-03-2019 22:35,14h 10m,1 stop,In-flight meal not included, 110.3 
6696,easyJet,21-04-2019 09:00,Paris,London,CDG _ LHR,21-04-2019 11:25,2h 25m,non-stop,No info, 49.4 
6697,British Airways,15-05-2019 17:45,London,Frankfurt,LHR _ FRA,15-05-2019 20:45,3h 00m,non-stop,No info, 79.5 
6698,easyJet,03-03-2019 10:20,London,Frankfurt,LHR _ MXP _ FRA,03-03-2019 18:15,7h 55m,1 stop,No info, 125.4 
6699,Ryanair,27-06-2019 14:45,Madrid,Paris,MAD _ CDG,27-06-2019 17:05,2h 20m,non-stop,No info, 39.6 
6700,Air France,12-06-2019 17:00,Paris,London,CDG _ WAW _ LHR,13-06-2019 09:05,16h 5m,1 stop,No info, 87.2 
6701,easyJet,01-05-2019 09:00,Paris,London,CDG _ LHR,01-05-2019 11:25,2h 25m,non-stop,No info, 45.9 
6702,Lufthansa,01-05-2019 07:00,Paris,London,CDG _ WAW _ LHR,01-05-2019 16:15,9h 15m,1 stop,No info, 112.2 
6703,Air France,09-05-2019 07:10,Paris,London,CDG _ WAW _ LHR,09-05-2019 20:20,13h 10m,1 stop,No info, 94.7 
6704,British Airways,12-06-2019 15:15,London,Frankfurt,LHR _ FRA,12-06-2019 18:10,2h 55m,non-stop,In-flight meal not included, 63.5 
6705,Ryanair,01-05-2019 11:30,Paris,London,CDG _ LHR,01-05-2019 14:05,2h 35m,non-stop,No info, 62.1 
6706,British Airways,03-06-2019 07:10,London,Frankfurt,LHR _ FRA,03-06-2019 10:10,3h 00m,non-stop,In-flight meal not included, 63.5 
6707,British Airways,15-05-2019 06:00,London,Frankfurt,LHR _ FRA,15-05-2019 08:45,2h 45m,non-stop,No info, 79.5 
6708,Ryanair,09-06-2019 06:20,Paris,London,CDG _ WAW _ LHR,09-06-2019 10:20,4h 00m,1 stop,No info, 46.5 
6709,Ryanair,09-03-2019 12:05,London,Frankfurt,LHR _ MXP _ FRA,09-03-2019 17:05,5h 00m,1 stop,No info, 50.5 
6710,British Airways,21-05-2019 10:20,Zurich,Amsterdam,ZRH _ AMS,21-05-2019 11:50,1h 30m,non-stop,In-flight meal not included, 54.9 
6711,British Airways,01-04-2019 17:30,Frankfurt,Rome,FRA _ BER _ FCO,02-04-2019 12:35,19h 5m,1 stop,In-flight meal not included, 59.5 
6712,easyJet,24-06-2019 17:10,Paris,London,CDG _ LHR,24-06-2019 19:40,2h 30m,non-stop,No info, 42.6 
6713,British Airways,06-03-2019 11:30,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 18:50,7h 20m,1 stop,No info, 187.3 
6714,easyJet,09-06-2019 08:45,Frankfurt,Rome,FRA _ BER _ FCO,09-06-2019 13:15,4h 30m,1 stop,No check-in baggage included, 56.7 
6715,British Airways,01-05-2019 10:20,Zurich,Amsterdam,ZRH _ AMS,01-05-2019 11:50,1h 30m,non-stop,No info, 88.4 
6716,British Airways,18-05-2019 05:45,Paris,London,CDG _ WAW _ LHR,18-05-2019 16:20,10h 35m,1 stop,In-flight meal not included, 119.3 
6717,Lufthansa,12-05-2019 11:40,Madrid,Paris,MAD _ CDG,12-05-2019 13:55,2h 15m,non-stop,No info, 51.3 
6718,British Airways,03-04-2019 19:35,Zurich,Amsterdam,ZRH _ AMS,03-04-2019 21:05,1h 30m,non-stop,No info, 62.5 
6719,Lufthansa,12-05-2019 05:50,Paris,London,CDG _ BRU _ MUC _ LHR,12-05-2019 20:25,14h 35m,2 stops,No info, 137.6 
6720,British Airways,27-06-2019 07:10,London,Frankfurt,LHR _ FRA,27-06-2019 10:10,3h 00m,non-stop,No info, 88.2 
6721,easyJet,01-06-2019 17:45,Madrid,Paris,MAD _ CDG,01-06-2019 20:05,2h 20m,non-stop,No check-in baggage included, 39.0 
6722,British Airways,21-03-2019 17:30,Frankfurt,Rome,FRA _ BER _ FCO,22-03-2019 04:25,10h 55m,1 stop,In-flight meal not included, 65.6 
6723,British Airways,18-05-2019 08:25,Paris,London,CDG _ WAW _ LHR,18-05-2019 16:20,7h 55m,1 stop,No info, 162.6 
6724,British Airways,18-05-2019 09:00,Frankfurt,Rome,FRA _ BER _ FCO,19-05-2019 12:35,27h 35m,1 stop,In-flight meal not included, 136.1 
6725,British Airways,01-06-2019 19:35,Zurich,Amsterdam,ZRH _ AMS,01-06-2019 21:05,1h 30m,non-stop,In-flight meal not included, 35.3 
6726,British Airways,15-03-2019 05:45,London,Frankfurt,LHR _ MXP _ FRA,15-03-2019 18:25,12h 40m,1 stop,In-flight meal not included, 100.5 
6727,British Airways,06-06-2019 14:35,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,07-06-2019 04:25,13h 50m,2 stops,In-flight meal not included, 120.1 
6728,Ryanair,01-05-2019 09:10,Zurich,Amsterdam,ZRH _ AMS,01-05-2019 10:40,1h 30m,non-stop,No info, 50.3 
6729,Ryanair,15-06-2019 05:35,Frankfurt,Rome,FRA _ FCO,15-06-2019 08:50,3h 15m,non-stop,No info, 61.6 
6730,British Airways,18-05-2019 17:00,Paris,London,CDG _ WAW _ LHR,18-05-2019 23:35,6h 35m,1 stop,No info, 155.7 
6731,Lufthansa,06-05-2019 12:00,Paris,London,CDG _ BRU _ MUC _ LHR,07-05-2019 07:55,19h 55m,2 stops,No info, 111.7 
6732,Air France,18-04-2019 09:45,London,Frankfurt,LHR _ FRA,18-04-2019 12:35,2h 50m,non-stop,No info, 59.4 
6733,Ryanair,27-05-2019 02:00,Frankfurt,Rome,FRA _ BER _ FCO,27-05-2019 07:45,5h 45m,1 stop,No info, 67.6 
6734,Ryanair,27-06-2019 14:25,Paris,London,CDG _ LHR,27-06-2019 16:55,2h 30m,non-stop,No info, 52.8 
6735,Multiple carriers,27-03-2019 08:55,Frankfurt,Rome,FRA _ BER _ FCO,27-03-2019 19:15,10h 20m,1 stop,No info, 92.1 
6736,British Airways,09-06-2019 19:30,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-06-2019 04:25,8h 55m,2 stops,No info, 143.2 
6737,Eurowings,24-05-2019 04:55,London,Frankfurt,LHR _ FRA,24-05-2019 07:45,2h 50m,non-stop,No info, 37.2 
6738,easyJet,06-03-2019 17:45,Madrid,Paris,MAD _ CDG,06-03-2019 20:05,2h 20m,non-stop,No info, 80.3 
6739,British Airways,03-04-2019 07:10,London,Frankfurt,LHR _ FRA,03-04-2019 10:10,3h 00m,non-stop,In-flight meal not included, 50.0 
6740,Multiple carriers,06-03-2019 08:55,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 15:30,6h 35m,1 stop,No info, 166.6 
6741,Multiple carriers,09-03-2019 04:45,Frankfurt,Rome,FRA _ BER _ FCO,09-03-2019 19:45,15h 00m,1 stop,No info, 118.6 
6742,Ryanair,15-05-2019 15:10,Frankfurt,Rome,FRA _ BER _ FCO,15-05-2019 20:00,4h 50m,1 stop,No info, 66.3 
6743,British Airways,06-06-2019 14:35,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,07-06-2019 04:25,13h 50m,2 stops,In-flight meal not included, 120.1 
6744,Lufthansa,27-03-2019 06:10,Frankfurt,Rome,FRA _ BER _ FCO,28-03-2019 08:15,26h 5m,1 stop,No info, 73.5 
6745,Ryanair,24-06-2019 23:30,London,Frankfurt,LHR _ FRA,25-06-2019 02:20,2h 50m,non-stop,No info, 43.4 
6746,British Airways,27-05-2019 21:50,Frankfurt,Rome,FRA _ BER _ FCO,28-05-2019 12:35,14h 45m,1 stop,In-flight meal not included, 141.9 
6747,Ryanair,06-06-2019 18:35,Frankfurt,Rome,FRA _ BER _ FCO,07-06-2019 01:30,6h 55m,1 stop,No info, 72.9 
6748,Lufthansa,03-04-2019 20:30,Frankfurt,Rome,FRA _ BER _ FCO,04-04-2019 23:00,26h 30m,1 stop,No info, 55.2 
6749,Lufthansa,03-06-2019 07:10,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,04-06-2019 07:40,24h 30m,2 stops,No info, 139.7 
6750,Eurowings,09-06-2019 20:45,Frankfurt,Rome,FRA _ BER _ FCO,10-06-2019 07:10,10h 25m,1 stop,No info, 118.7 
6751,Ryanair,09-06-2019 11:25,Frankfurt,Rome,FRA _ BER _ FCO,09-06-2019 21:00,9h 35m,1 stop,No info, 70.6 
6752,easyJet,09-03-2019 22:20,Paris,London,CDG _ LHR,10-03-2019 00:40,2h 20m,non-stop,No info, 50.8 
6753,Ryanair,27-05-2019 13:00,London,Frankfurt,LHR _ FRA,27-05-2019 15:50,2h 50m,non-stop,No info, 43.4 
6754,Eurowings,06-06-2019 19:55,Paris,London,CDG _ LHR,06-06-2019 22:25,2h 30m,non-stop,No info, 49.6 
6755,Air France,12-06-2019 07:10,Paris,London,CDG _ WAW _ LHR,12-06-2019 22:40,15h 30m,1 stop,No info, 93.0 
6756,Lufthansa,12-05-2019 16:45,Paris,London,CDG _ BRU _ MUC _ LHR,13-05-2019 08:55,16h 10m,2 stops,No info, 147.8 
6757,Air France,18-05-2019 17:45,Madrid,Paris,MAD _ CDG,18-05-2019 20:05,2h 20m,non-stop,No info, 131.8 
6758,British Airways,24-05-2019 18:55,Paris,London,CDG _ WAW _ LHR,25-05-2019 12:00,17h 5m,1 stop,In-flight meal not included, 119.3 
6759,British Airways,09-05-2019 09:40,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-05-2019 04:25,18h 45m,2 stops,No info, 166.4 
6760,British Airways,27-06-2019 14:00,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 19:00,5h 00m,1 stop,No info, 161.9 
6761,Ryanair,27-06-2019 06:40,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 21:00,14h 20m,1 stop,No info, 67.0 
6762,Ryanair,06-04-2019 04:55,Frankfurt,Rome,FRA _ BER _ FCO,06-04-2019 13:20,8h 25m,1 stop,No info, 58.4 
6763,Wizz Air,15-05-2019 14:25,Frankfurt,Rome,FRA _ BER _ FCO,15-05-2019 19:35,5h 10m,1 stop,No info, 112.1 
6764,British Airways,06-06-2019 20:00,Paris,London,CDG _ WAW _ LHR,07-06-2019 08:15,12h 15m,1 stop,No info, 160.3 
6765,British Airways,27-03-2019 19:10,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-03-2019 04:25,9h 15m,2 stops,No info, 120.7 
6766,British Airways,24-05-2019 06:30,Paris,London,CDG _ WAW _ LHR,24-05-2019 16:20,9h 50m,1 stop,In-flight meal not included, 119.3 
6767,Ryanair,09-04-2019 20:20,Paris,London,CDG _ LHR,09-04-2019 22:55,2h 35m,non-stop,No info, 49.4 
6768,Lufthansa,24-05-2019 23:00,Frankfurt,Rome,FRA _ BER _ FCO,25-05-2019 19:15,20h 15m,1 stop,No info, 94.4 
6769,British Airways,24-06-2019 19:45,Frankfurt,Rome,FRA _ BER _ FCO,25-06-2019 12:35,16h 50m,1 stop,In-flight meal not included, 112.9 
6770,Air France,06-05-2019 17:00,Paris,London,CDG _ WAW _ LHR,07-05-2019 10:45,17h 45m,1 stop,No info, 95.3 
6771,Ryanair,24-03-2019 06:00,London,Frankfurt,LHR _ FRA,24-03-2019 08:45,2h 45m,non-stop,No info, 52.6 
6772,British Airways,27-03-2019 15:50,Zurich,Amsterdam,ZRH _ AMS,27-03-2019 17:20,1h 30m,non-stop,In-flight meal not included, 22.8 
6773,British Airways,12-03-2019 22:55,London,Frankfurt,LHR _ MXP _ FRA,13-03-2019 15:15,16h 20m,1 stop,In-flight meal not included, 122.0 
6774,Lufthansa,18-04-2019 21:05,London,Frankfurt,LHR _ FRA,18-04-2019 23:55,2h 50m,non-stop,No info, 57.5 
6775,British Airways,01-04-2019 06:30,Paris,London,CDG _ WAW _ LHR,01-04-2019 16:20,9h 50m,1 stop,No info, 143.0 
6776,British Airways,06-03-2019 08:00,London,Frankfurt,LHR _ MXP _ FRA,06-03-2019 23:00,15h 00m,1 stop,No info, 184.1 
6777,British Airways,01-05-2019 18:55,Paris,London,CDG _ WAW _ LHR,02-05-2019 10:05,15h 10m,1 stop,No info, 153.4 
6778,Lufthansa,15-03-2019 13:50,London,Frankfurt,LHR _ MXP _ FRA,15-03-2019 22:10,8h 20m,1 stop,No info, 100.8 
6779,Lufthansa,03-03-2019 05:15,Frankfurt,Rome,FRA _ BER _ FCO,04-03-2019 06:50,25h 35m,1 stop,No info, 139.5 
6780,Lufthansa,24-03-2019 11:40,Madrid,Paris,MAD _ CDG,24-03-2019 13:55,2h 15m,non-stop,No info, 48.5 
6781,British Airways,06-05-2019 09:35,Paris,London,CDG _ WAW _ LHR,06-05-2019 23:35,14h 00m,1 stop,No info, 133.3 
6782,Lufthansa,06-06-2019 21:05,London,Frankfurt,LHR _ FRA,06-06-2019 23:55,2h 50m,non-stop,No info, 67.3 
6783,British Airways,18-05-2019 08:25,Paris,London,CDG _ WAW _ LHR,19-05-2019 09:20,24h 55m,1 stop,No info, 158.3 
6784,British Airways,01-04-2019 20:25,Paris,London,CDG _ WAW _ LHR,02-04-2019 10:55,14h 30m,1 stop,No info, 126.1 
6785,British Airways,12-03-2019 21:25,London,Frankfurt,LHR _ MXP _ FRA,13-03-2019 10:25,13h 00m,1 stop,No info, 152.0 
6786,Lufthansa,06-05-2019 19:30,Zurich,Amsterdam,ZRH _ AMS,06-05-2019 20:45,1h 15m,non-stop,No info, 34.1 
6787,Multiple carriers,21-05-2019 11:40,Frankfurt,Rome,FRA _ BER _ FCO,21-05-2019 19:15,7h 35m,1 stop,No info, 90.9 
6788,British Airways,24-03-2019 19:45,Paris,London,CDG _ WAW _ LHR,25-03-2019 23:25,27h 40m,1 stop,No info, 151.4 
6789,Ryanair,09-06-2019 00:25,London,Frankfurt,LHR _ FRA,09-06-2019 03:15,2h 50m,non-stop,No info, 43.4 
6790,Multiple carriers,27-03-2019 18:15,Frankfurt,Rome,FRA _ BER _ FCO,28-03-2019 01:35,7h 20m,1 stop,No info, 135.6 
6791,Ryanair,12-06-2019 06:25,Zurich,Amsterdam,ZRH _ AMS,12-06-2019 07:55,1h 30m,non-stop,No info, 44.5 
6792,easyJet,01-06-2019 21:10,London,Frankfurt,LHR _ FRA,02-06-2019 00:05,2h 55m,non-stop,No check-in baggage included, 39.3 
6793,Eurowings,15-05-2019 19:55,Paris,London,CDG _ LHR,15-05-2019 22:25,2h 30m,non-stop,No info, 48.5 
6794,Lufthansa,27-03-2019 07:05,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-03-2019 09:25,26h 20m,2 stops,No info, 72.2 
6795,Ryanair,15-04-2019 21:25,Paris,London,CDG _ LHR,16-04-2019 00:05,2h 40m,non-stop,No info, 45.9 
6796,British Airways,24-05-2019 07:10,London,Frankfurt,LHR _ FRA,24-05-2019 10:10,3h 00m,non-stop,In-flight meal not included, 44.3 
6797,Eurowings,21-03-2019 10:20,Paris,London,CDG _ LHR,21-03-2019 12:55,2h 35m,non-stop,No info, 44.9 
6798,Lufthansa,24-05-2019 09:10,Paris,London,CDG _ BRU _ MUC _ LHR,25-05-2019 11:05,25h 55m,2 stops,No info, 67.3 
6799,British Airways,21-03-2019 05:50,London,Frankfurt,LHR _ MXP _ FRA,21-03-2019 12:20,6h 30m,1 stop,In-flight meal not included, 67.8 
6800,British Airways,27-03-2019 16:00,Frankfurt,Rome,FRA _ BER _ FCO,28-03-2019 04:25,12h 25m,1 stop,In-flight meal not included, 71.9 
6801,easyJet,12-05-2019 15:05,Paris,London,CDG _ WAW _ LHR,12-05-2019 20:20,5h 15m,1 stop,No info, 51.1 
6802,British Airways,09-06-2019 21:50,Frankfurt,Rome,FRA _ BER _ FCO,10-06-2019 19:00,21h 10m,1 stop,In-flight meal not included, 112.9 
6803,Air France,06-04-2019 19:30,London,Frankfurt,LHR _ FRA,06-04-2019 22:15,2h 45m,non-stop,No info, 61.7 
6804,Ryanair,24-03-2019 08:30,London,Frankfurt,LHR _ FRA,24-03-2019 11:30,3h 00m,non-stop,No info, 67.6 
6805,British Airways,12-05-2019 17:00,Paris,London,CDG _ WAW _ LHR,13-05-2019 22:05,29h 5m,1 stop,No info, 143.7 
6806,Air France,03-03-2019 21:10,London,Frankfurt,LHR _ FRA,07-03-2019 00:05,2h 55m,non-stop,No info, 83.7 
6807,Multiple carriers,09-06-2019 10:00,Frankfurt,Rome,FRA _ BER _ FCO,10-06-2019 01:30,15h 30m,1 stop,No info, 79.2 
6808,British Airways,15-05-2019 16:30,Paris,London,CDG _ WAW _ LHR,15-05-2019 23:35,7h 5m,1 stop,No info, 153.4 
6809,British Airways,09-06-2019 09:40,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-06-2019 04:25,18h 45m,2 stops,In-flight meal not included, 114.1 
6810,easyJet,27-06-2019 08:20,Madrid,Paris,MAD _ CDG,27-06-2019 10:35,2h 15m,non-stop,No check-in baggage included, 39.0 
6811,Ryanair,27-03-2019 20:25,Paris,London,CDG _ LHR,27-03-2019 23:05,2h 40m,non-stop,No info, 49.1 
6812,Lufthansa,24-03-2019 05:50,Paris,London,CDG _ BRU _ MUC _ LHR,24-03-2019 13:40,7h 50m,2 stops,No info, 88.1 
6813,British Airways,01-04-2019 18:55,Paris,London,CDG _ WAW _ LHR,02-04-2019 22:35,27h 40m,1 stop,In-flight meal not included, 77.7 
6814,British Airways,01-05-2019 20:25,Paris,London,CDG _ WAW _ LHR,02-05-2019 21:05,24h 40m,1 stop,No info, 133.3 
6815,Lufthansa,09-05-2019 12:00,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,09-05-2019 19:15,7h 15m,2 stops,No info, 98.1 
6816,Lufthansa,12-05-2019 09:25,Paris,London,CDG _ WAW _ LHR,12-05-2019 21:50,12h 25m,1 stop,No info, 97.8 
6817,Lufthansa,01-05-2019 10:00,Paris,London,CDG _ WAW _ LHR,01-05-2019 16:15,6h 15m,1 stop,No info, 112.2 
6818,Multiple carriers,15-05-2019 13:00,Frankfurt,Rome,FRA _ BER _ FCO,15-05-2019 21:00,8h 00m,1 stop,No info, 88.8 
6819,Ryanair,03-03-2019 16:10,Frankfurt,Rome,FRA _ BER _ FCO,03-03-2019 22:20,6h 10m,1 stop,No info, 123.6 
6820,British Airways,12-06-2019 06:45,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,13-06-2019 04:25,21h 40m,2 stops,No info, 147.1 
6821,Multiple carriers,09-06-2019 07:10,Frankfurt,Rome,FRA _ BER _ FCO,09-06-2019 22:30,15h 20m,1 stop,No info, 71.6 
6822,British Airways,24-05-2019 18:55,Paris,London,CDG _ WAW _ LHR,25-05-2019 04:40,9h 45m,1 stop,No info, 151.0 
6823,British Airways,01-04-2019 20:00,Paris,London,CDG _ WAW _ LHR,02-04-2019 19:50,23h 50m,1 stop,In-flight meal not included, 77.7 
6824,British Airways,06-03-2019 05:45,London,Frankfurt,LHR _ MXP _ FRA,06-03-2019 19:10,13h 25m,1 stop,No info, 184.1 
6825,British Airways,15-05-2019 20:00,Paris,London,CDG _ WAW _ LHR,16-05-2019 10:05,14h 5m,1 stop,In-flight meal not included, 94.5 
6826,Multiple carriers,15-06-2019 06:00,Frankfurt,Rome,FRA _ BER _ FCO,15-06-2019 19:00,13h 00m,1 stop,No info, 129.7 
6827,Ryanair,24-05-2019 11:30,Paris,London,CDG _ LHR,24-05-2019 14:05,2h 35m,non-stop,No info, 57.5 
6828,Ryanair,15-05-2019 21:05,Frankfurt,Rome,FRA _ FCO,16-05-2019 00:20,3h 15m,non-stop,No info, 75.2 
6829,Ryanair,15-06-2019 16:00,Frankfurt,Rome,FRA _ BER _ FCO,16-06-2019 01:30,9h 30m,1 stop,No info, 69.5 
6830,British Airways,21-03-2019 10:45,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,22-03-2019 18:50,32h 5m,2 stops,No info, 130.6 
6831,Eurowings,06-03-2019 22:50,Paris,London,CDG _ LHR,07-03-2019 01:20,2h 30m,non-stop,No info, 48.2 
6832,Ryanair,21-04-2019 14:25,Paris,London,CDG _ LHR,21-04-2019 16:55,2h 30m,non-stop,No info, 62.1 
6833,Lufthansa,09-03-2019 20:15,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-03-2019 19:15,23h 00m,2 stops,No info, 216.5 
6834,Multiple carriers,06-06-2019 10:00,Frankfurt,Rome,FRA _ BER _ FCO,07-06-2019 01:30,15h 30m,1 stop,No info, 147.2 
6835,Multiple carriers,09-03-2019 09:45,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,09-03-2019 21:20,11h 35m,2 stops,No info, 111.0 
6836,British Airways,06-03-2019 17:50,Zurich,Amsterdam,ZRH _ BUD _ VIE _ AMS,07-03-2019 16:50,23h 00m,2 stops,No info, 229.3 
6837,Air France,24-06-2019 17:00,London,Frankfurt,LHR _ FRA,24-06-2019 19:35,2h 35m,non-stop,No info, 53.7 
6838,Ryanair,01-06-2019 21:20,Zurich,Amsterdam,ZRH _ AMS,01-06-2019 22:50,1h 30m,non-stop,No info, 24.5 
6839,Ryanair,18-05-2019 07:35,Frankfurt,Rome,FRA _ BER _ FCO,18-05-2019 16:10,8h 35m,1 stop,No info, 70.9 
6840,easyJet,27-05-2019 21:10,London,Frankfurt,LHR _ FRA,28-05-2019 00:05,2h 55m,non-stop,No check-in baggage included, 35.8 
6841,British Airways,15-06-2019 06:00,London,Frankfurt,LHR _ FRA,15-06-2019 08:45,2h 45m,non-stop,In-flight meal not included, 79.5 
6842,Lufthansa,01-05-2019 20:30,Paris,London,CDG _ BRU _ MUC _ LHR,02-05-2019 13:45,17h 15m,2 stops,No info, 166.8 
6843,Ryanair,24-03-2019 10:10,London,Frankfurt,LHR _ FRA,24-03-2019 13:00,2h 50m,non-stop,No info, 110.7 
6844,Lufthansa,15-03-2019 14:10,Frankfurt,Rome,FRA _ FCO,15-03-2019 17:10,3h 00m,non-stop,No info, 62.4 
6845,British Airways,01-03-2019 14:05,London,Frankfurt,LHR _ MXP _ FRA,02-03-2019 10:25,20h 20m,1 stop,No info, 228.8 
6846,Ryanair,18-05-2019 06:50,Frankfurt,Rome,FRA _ BER _ FCO,18-05-2019 22:30,15h 40m,1 stop,No info, 78.6 
6847,Lufthansa,27-05-2019 05:10,Frankfurt,Rome,FRA _ FCO,27-05-2019 08:00,2h 50m,non-stop,No info, 67.0 
6848,British Airways,18-05-2019 10:20,Zurich,Amsterdam,ZRH _ AMS,18-05-2019 11:50,1h 30m,non-stop,In-flight meal not included, 44.6 
6849,easyJet,24-06-2019 09:45,Madrid,Paris,MAD _ CDG,24-06-2019 12:00,2h 15m,non-stop,No check-in baggage included, 42.5 
6850,British Airways,21-03-2019 10:20,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,22-03-2019 18:50,32h 30m,2 stops,No info, 128.3 
6851,Multiple carriers,06-03-2019 07:10,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,06-03-2019 21:20,14h 10m,2 stops,In-flight meal not included, 85.0 
6852,British Airways,12-06-2019 09:35,Paris,London,CDG _ WAW _ LHR,12-06-2019 19:10,9h 35m,1 stop,No info, 139.6 
6853,Lufthansa,18-05-2019 13:15,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,19-05-2019 09:25,20h 10m,2 stops,No info, 124.4 
6854,British Airways,09-06-2019 21:10,Paris,London,CDG _ WAW _ LHR,10-06-2019 04:40,7h 30m,1 stop,In-flight meal not included, 94.5 
6855,Ryanair,21-03-2019 11:20,London,Frankfurt,LHR _ MXP _ FRA,21-03-2019 15:25,4h 5m,1 stop,No info, 63.2 
6856,Multiple carriers,21-03-2019 08:00,Frankfurt,Rome,FRA _ BER _ FCO,21-03-2019 19:15,11h 15m,1 stop,No info, 147.2 
6857,Lufthansa,24-03-2019 17:00,London,Frankfurt,LHR _ FRA,24-03-2019 19:45,2h 45m,non-stop,No info, 82.4 
6858,easyJet,06-03-2019 09:30,Madrid,Paris,MAD _ CDG,06-03-2019 12:05,2h 35m,non-stop,No info, 80.3 
6859,Multiple carriers,12-06-2019 11:40,Frankfurt,Rome,FRA _ BER _ FCO,12-06-2019 21:00,9h 20m,1 stop,No info, 77.1 
6860,Ryanair,12-05-2019 17:15,Paris,London,CDG _ LHR,12-05-2019 19:50,2h 35m,non-stop,No info, 52.8 
6861,Ryanair,09-03-2019 04:45,Frankfurt,Rome,FRA _ BER _ FCO,09-03-2019 12:55,8h 10m,1 stop,No info, 177.8 
6862,Ryanair,24-04-2019 00:30,London,Frankfurt,LHR _ FRA,24-04-2019 03:25,2h 55m,non-stop,No info, 37.6 
6863,Eurowings,01-05-2019 15:10,Paris,London,CDG _ BRU _ MUC _ LHR,01-05-2019 23:30,8h 20m,2 stops,No info, 57.1 
6864,Eurowings,15-04-2019 10:20,Paris,London,CDG _ LHR,15-04-2019 12:55,2h 35m,non-stop,No info, 48.5 
6865,British Airways,18-04-2019 08:20,London,Frankfurt,LHR _ FRA,18-04-2019 11:20,3h 00m,non-stop,No info, 79.5 
6866,Ryanair,15-03-2019 16:55,London,Frankfurt,LHR _ MXP _ FRA,15-03-2019 21:50,4h 55m,1 stop,No info, 59.4 
6867,British Airways,15-04-2019 14:00,Frankfurt,Rome,FRA _ BER _ FCO,15-04-2019 19:00,5h 00m,1 stop,In-flight meal not included, 72.0 
6868,Wizz Air,27-03-2019 10:25,Frankfurt,Rome,FRA _ BER _ FCO,27-03-2019 19:20,8h 55m,1 stop,No info, 58.1 
6869,Multiple carriers,06-06-2019 12:50,Frankfurt,Rome,FRA _ BER _ FCO,06-06-2019 19:15,6h 25m,1 stop,No info, 90.9 
6870,British Airways,12-06-2019 14:00,Frankfurt,Rome,FRA _ BER _ FCO,12-06-2019 19:00,5h 00m,1 stop,In-flight meal not included, 112.9 
6871,Air France,24-03-2019 20:20,Paris,London,CDG _ WAW _ LHR,25-03-2019 20:25,24h 5m,1 stop,No info, 122.2 
6872,British Airways,03-04-2019 08:20,London,Frankfurt,LHR _ FRA,03-04-2019 11:20,3h 00m,non-stop,In-flight meal not included, 50.0 
6873,Lufthansa,06-03-2019 14:15,Paris,London,CDG _ LHR,06-03-2019 16:45,2h 30m,non-stop,No info, 54.6 
6874,British Airways,06-03-2019 08:55,London,Frankfurt,LHR _ MXP _ FRA,07-03-2019 05:05,20h 10m,1 stop,No info, 184.1 
6875,Multiple carriers,01-06-2019 10:00,Frankfurt,Rome,FRA _ BER _ FCO,02-06-2019 01:30,15h 30m,1 stop,No info, 147.2 
6876,easyJet,18-05-2019 13:15,Zurich,Amsterdam,ZRH _ AMS,18-05-2019 14:45,1h 30m,non-stop,No info, 24.5 
6877,Lufthansa,15-03-2019 06:20,Zurich,Amsterdam,ZRH _ AMS,15-03-2019 07:40,1h 20m,non-stop,No info, 34.1 
6878,Lufthansa,09-06-2019 21:05,Zurich,Amsterdam,ZRH _ AMS,09-06-2019 22:25,1h 20m,non-stop,No info, 34.1 
6879,easyJet,18-05-2019 06:55,Paris,London,CDG _ LHR,18-05-2019 09:30,2h 35m,non-stop,No info, 42.6 
6880,Ryanair,03-03-2019 20:05,Zurich,Amsterdam,ZRH _ AMS,03-03-2019 21:35,1h 30m,non-stop,No info, 57.6 
6881,British Airways,27-05-2019 18:55,London,Frankfurt,LHR _ FRA,27-05-2019 22:00,3h 5m,non-stop,In-flight meal not included, 37.0 
6882,Ryanair,24-03-2019 07:10,London,Frankfurt,LHR _ FRA,24-03-2019 10:05,2h 55m,non-stop,No info, 67.6 
